class_id,class_name_raw,class_name_clean,sci_name,taxonomy,matched,Mass,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,family,order
1,001.Black_footed_Albatross,Black footed Albatross,Phoebastria nigripes,BirdLife,True,3188.4,101.2,67.8,23.8,30.8,87.4,476.0,64.7,136.0,Marine,Carnivore,Aquatic predator,Aquatic,2.0,84626560.97,Diomedeidae,Procellariiformes
2,002.Laysan_Albatross,Laysan Albatross,Phoebastria immutabilis,BirdLife,True,3145.9,108.0,74.6,20.7,28.2,82.6,474.4,66.2,147.2,Marine,Carnivore,Aquatic predator,Aquatic,2.0,45350856.11,Diomedeidae,Procellariiformes
3,003.Sooty_Albatross,Sooty Albatross,Phoebetria fusca,BirdLife,True,2553.7,108.9,71.4,17.6,29.8,76.2,510.2,68.3,268.8,Marine,Carnivore,Aquatic predator,Aquatic,2.0,61330907.01,Diomedeidae,Procellariiformes
4,004.Groove_billed_Ani,Groove billed Ani,Crotophaga sulcirostris,BirdLife,True,82.0,26.9,17.7,9.5,16.5,33.8,129.3,19.3,162.7,Human Modified,Carnivore,Invertivore,Terrestrial,1.0,2696933.46,Cuculidae,Cuculiformes
5,005.Crested_Auklet,Crested Auklet,Aethia cristatella,BirdLife,True,259.4,21.1,7.1,6.1,10.9,27.4,139.4,44.1,38.0,Marine,Carnivore,Aquatic predator,Aquatic,3.0,479141.29,Alcidae,Charadriiformes
6,006.Least_Auklet,Least Auklet,Aethia pusilla,BirdLife,True,84.0,15.0,5.7,5.0,6.4,19.0,94.4,40.4,27.0,Marine,Carnivore,Aquatic predator,Aquatic,3.0,65157.07,Alcidae,Charadriiformes
7,007.Parakeet_Auklet,Parakeet Auklet,Aethia psittacula,BirdLife,True,270.0,20.1,8.8,6.2,12.6,29.4,146.2,41.1,39.0,Marine,Carnivore,Aquatic predator,Aquatic,3.0,400570.42,Alcidae,Charadriiformes
8,008.Rhinoceros_Auklet,Rhinoceros Auklet,Cerorhinca monocerata,BirdLife,True,482.2,48.5,25.5,8.5,17.6,29.4,178.8,52.0,51.2,Marine,Carnivore,Aquatic predator,Aquatic,3.0,316387.33,Alcidae,Charadriiformes
9,009.Brewer_Blackbird,Brewer Blackbird,Euphagus cyanocephalus,BirdLife,True,62.5,22.6,14.4,5.8,7.5,31.0,126.4,31.2,100.6,Human Modified,Carnivore,Omnivore,Terrestrial,2.0,5280448.27,Icteridae,Passeriformes
10,010.Red_winged_Blackbird,Red winged Blackbird,Agelaius phoeniceus,BirdLife,True,50.8,22.7,15.4,5.6,8.8,28.0,118.0,24.0,88.9,Wetland,Herbivore,Granivore,Generalist,3.0,13703226.95,Icteridae,Passeriformes
