feature,F,group
glcm_contrast,0.1759194748846002,GLCM纹理
glcm_dissimilarity,0.23681962284813682,GLCM纹理
glcm_homogeneity,0.2775924917108726,GLCM纹理
glcm_ASM,0.20537230877212792,GLCM纹理
glcm_energy,0.23979292574723599,GLCM纹理
glcm_correlation,0.18530612211264033,GLCM纹理
glcm_entropy,0.30531568496500555,GLCM纹理
lbp_00,0.12216615870217724,LBP纹理
lbp_01,0.09136584996319004,LBP纹理
lbp_02,0.2730306310311116,LBP纹理
lbp_03,0.23954951525994186,LBP纹理
lbp_04,0.0853648517668997,LBP纹理
lbp_05,0.23297145906203742,LBP纹理
lbp_06,0.2081930996835548,LBP纹理
lbp_07,0.41890209499348985,LBP纹理
lbp_08,0.09092301734780713,LBP纹理
lbp_09,0.07424351799651169,LBP纹理
lbp_10,0.1986913119134574,LBP纹理
lbp_11,0.42075722896678597,LBP纹理
lbp_12,0.5089757744961204,LBP纹理
lbp_13,0.3218126011013999,LBP纹理
lbp_14,0.19176228007527102,LBP纹理
lbp_15,0.41723468924171697,LBP纹理
lbp_16,0.0903027605076316,LBP纹理
lbp_17,0.09358016955212056,LBP纹理
lbp_18,0.3327025484966482,LBP纹理
lbp_19,0.12279241344656297,LBP纹理
lbp_20,0.1023495841464545,LBP纹理
lbp_21,0.10080012561786136,LBP纹理
lbp_22,0.28068932333842356,LBP纹理
lbp_23,0.2616154536342309,LBP纹理
lbp_24,0.0828870086701133,LBP纹理
lbp_25,0.2235935805463171,LBP纹理
lbp_26,0.10445035173660783,LBP纹理
lbp_27,0.11402098410567008,LBP纹理
lbp_28,0.17077809183138562,LBP纹理
lbp_29,0.0926498805727435,LBP纹理
lbp_30,0.08912686208193385,LBP纹理
lbp_31,0.13985142492462857,LBP纹理
lbp_32,0.07003405061731803,LBP纹理
lbp_33,0.0691817448544668,LBP纹理
lbp_34,0.10605059468170976,LBP纹理
lbp_35,0.2279482744083468,LBP纹理
lbp_36,0.26654588396670625,LBP纹理
lbp_37,0.14431893750678568,LBP纹理
lbp_38,0.16342532250462596,LBP纹理
lbp_39,0.12998822843603344,LBP纹理
lbp_40,0.06937150298079858,LBP纹理
lbp_41,0.1685116364827858,LBP纹理
lbp_42,0.24770748861106232,LBP纹理
lbp_43,0.08402389918492452,LBP纹理
lbp_44,0.14127309519300363,LBP纹理
lbp_45,0.2894394815423807,LBP纹理
lbp_46,0.40894006011147355,LBP纹理
lbp_47,0.20050970905219134,LBP纹理
lbp_48,0.07388617323164826,LBP纹理
lbp_49,0.07546017411079743,LBP纹理
lbp_50,0.4085146853994563,LBP纹理
lbp_51,0.45295605835800834,LBP纹理
lbp_52,0.0743681923556771,LBP纹理
lbp_53,0.15621651156741365,LBP纹理
lbp_54,0.07780371709361836,LBP纹理
lbp_55,0.24144766506593238,LBP纹理
lbp_56,0.1614372360649701,LBP纹理
lbp_57,0.180982301855334,LBP纹理
lbp_58,0.35315080860283166,LBP纹理
shape_area_ratio,0.11062355380946741,形貌
shape_perimeter_norm,0.06533951048920092,形貌
shape_compactness,0.05056489244725368,形貌
shape_extent,0.05517629077373616,形貌
shape_solidity,0.05870807859175041,形貌
shape_aspect,0.14800335061326556,形貌
shape_holes,0.0,形貌
shape_centroid_dx,0.016602334796168183,形貌
shape_centroid_dy,0.07557091841373405,形貌
shape_edge_density,0.10272112064357646,形貌
shape_bbox_w,0.06638085555349306,形貌
shape_bbox_h,0.058670871583324055,形貌
color_h00,0.12965416491964038,颜色
color_h01,0.1952161842171149,颜色
color_h02,0.19594170613129586,颜色
color_h03,0.18186052861181262,颜色
color_h04,0.15554671325609942,颜色
color_h05,0.07326129933635446,颜色
color_h06,0.03746530104225034,颜色
color_h07,0.035371715303591796,颜色
color_h08,0.04815253568290951,颜色
color_h09,0.09041333717255179,颜色
color_h10,0.2777995929706712,颜色
color_h11,0.09844536441685721,颜色
color_h12,0.06535969069495573,颜色
color_h13,0.06068001130380977,颜色
color_h14,0.053240095486773296,颜色
color_h15,0.041261244379727405,颜色
color_h16,0.03750826780589443,颜色
color_h17,0.08377221500889492,颜色
color_s00,0.2150154810692502,颜色
color_s01,0.06644404291834484,颜色
color_s02,0.042993765277853944,颜色
color_s03,0.08124874755986435,颜色
color_s04,0.10825124153404012,颜色
color_s05,0.18593985652107828,颜色
color_s06,0.3144958997211632,颜色
color_s07,0.27665159905550946,颜色
color_v00,0.16707694954808827,颜色
color_v01,0.1202886717816973,颜色
color_v02,0.10405465091423315,颜色
color_v03,0.08574964387313669,颜色
color_v04,0.06962465953309216,颜色
color_v05,0.06935115139325433,颜色
color_v06,0.07752528088471237,颜色
color_v07,0.06817693221080097,颜色
fractal_dimension,0.07766306688507298,分形复杂度
fractal_r2,0.0405815886928863,分形复杂度
symm_vertical,0.08843721088916452,对称性
symm_v_axis,0.016499706064275803,对称性
symm_horizontal,0.06639967884529768,对称性
symm_h_axis,0.022676656152876572,对称性
gray_mean,0.11332555196832532,灰度统计
gray_std,0.23020442128065752,灰度统计
morph_body_len_ratio,0.048181959430318624,形态比例
morph_body_width_ratio,0.06425047451962562,形态比例
morph_wing_span_ratio,0.10018348439157809,形态比例
morph_tail_ratio,0.18272838817850562,形态比例
morph_wing_body_ratio,0.18260882005333384,形态比例
morph_tail_body_ratio,0.16739953626538584,形态比例
