feature,F_raw,F_enhanced,group,improve_ratio
glcm_contrast,0.3570682326172931,0.3587000747894832,GLCM纹理,1.0045701129983595
glcm_dissimilarity,0.34565335644256234,0.37074395347850875,GLCM纹理,1.072588900316503
glcm_homogeneity,0.34996813566857315,0.42646275998602984,GLCM纹理,1.2185759688381461
glcm_ASM,0.26664962677766607,0.30361517255871595,GLCM纹理,1.1386296550519208
glcm_energy,0.28062676106198636,0.30712073548668856,GLCM纹理,1.094410006812414
glcm_correlation,0.3652217695441179,0.33001745345835326,GLCM纹理,0.9036083853089825
glcm_entropy,0.3234128622351799,0.3875038171963517,GLCM纹理,1.1981707051383994
lbp_00,0.3902569102805131,0.3487291889128659,LBP纹理,0.8935887609557227
lbp_01,0.37005439939530776,0.36057577027274557,LBP纹理,0.9743858493804552
lbp_02,0.5295157138882481,0.4630297672282381,LBP纹理,0.8744400875798825
lbp_03,0.3844226095639199,0.4869924416750248,LBP纹理,1.26681529534954
lbp_04,0.36997155950584254,0.3174353075122674,LBP纹理,0.8579992146839507
lbp_05,0.40998038211833354,0.41861534634356135,LBP纹理,1.0210618961316895
lbp_06,0.859246610231571,0.5619776790314094,LBP纹理,0.6540353751052911
lbp_07,0.7600514377717316,0.7055133923853342,LBP纹理,0.9282442704835654
lbp_08,0.44518456851528043,0.40698395192287434,LBP纹理,0.9141915077588565
lbp_09,0.3434940421459754,0.3115369798952041,LBP纹理,0.9069647262234104
lbp_10,0.6843933328645576,0.5820652915841331,LBP纹理,0.8504835795916121
lbp_11,0.7627669154840727,0.6851010347144197,LBP纹理,0.8981787500297358
lbp_12,0.9264575183117842,0.7723912337871034,LBP纹理,0.8337038865999401
lbp_13,0.7898018705565156,0.6833058022632198,LBP纹理,0.865161033084005
lbp_14,0.728942206730829,0.5761747843276926,LBP纹理,0.7904258787688253
lbp_15,0.5670419420333402,0.5632668997740559,LBP纹理,0.9933425696047441
lbp_16,0.3541760240810527,0.3135420627995676,LBP纹理,0.885271846427777
lbp_17,0.4484279693365546,0.3973183663886407,LBP纹理,0.8860249439293091
lbp_18,0.7184848141907416,0.5535329343401048,LBP纹理,0.7704170267854593
lbp_19,0.38485477756669045,0.4108357315200603,LBP纹理,1.0675084615463821
lbp_20,0.5866261683917597,0.5138430398693716,LBP纹理,0.8759292843638402
lbp_21,0.3044018560655132,0.517108071701818,LBP纹理,1.6987678011688196
lbp_22,0.5233086711099274,0.4699755729566489,LBP纹理,0.8980848185812436
lbp_23,0.32303437635494575,0.5277383814485852,LBP纹理,1.6336910870039412
lbp_24,0.3269282839816395,0.3074481830044423,LBP纹理,0.9404147578151067
lbp_25,0.8765116443608875,0.4891175508815765,LBP纹理,0.5580274421084969
lbp_26,0.48170759887644626,0.45577313580061873,LBP纹理,0.9461613992860727
lbp_27,0.6299960138124652,0.45361991619688014,LBP纹理,0.7200361688815257
lbp_28,0.6728735348742618,0.5933625637730002,LBP纹理,0.881833707255255
lbp_29,0.3490576780511671,0.31592941731812413,LBP纹理,0.9050923018828656
lbp_30,0.3459546335905345,0.2918946386223041,LBP纹理,0.8437367512381448
lbp_31,0.43991323520882375,0.3040769614776534,LBP纹理,0.6912203069603463
lbp_32,0.35067664679306165,0.3989773866323777,LBP纹理,1.1377358323683333
lbp_33,0.33731256499521173,0.3174992662211531,LBP纹理,0.9412613082608378
lbp_34,0.4444696246088182,0.6731372273953757,LBP纹理,1.5144729586106036
lbp_35,0.6466952662443529,0.56220878985239,LBP纹理,0.8693565875570997
lbp_36,0.22892622550595992,0.41350738768441475,LBP纹理,1.8062910300849
lbp_37,0.3753021426872599,0.2985082890364599,LBP纹理,0.7953812544161575
lbp_38,0.4932233084200552,0.42243112120838333,LBP纹理,0.8564703127285341
lbp_39,0.43737506373506085,0.4623975262253062,LBP纹理,1.0572105375087077
lbp_40,0.48517071754715657,0.3312708121813141,LBP纹理,0.6827922630108714
lbp_41,0.5579357049014179,0.6531848544343891,LBP纹理,1.17071707133106
lbp_42,0.8440878767576628,0.6390127154234736,LBP纹理,0.7570452473234334
lbp_43,0.35957212033839525,0.3382429984203116,LBP纹理,0.94068193635549
lbp_44,0.5090799331784651,0.3184386001977969,LBP纹理,0.6255178793023418
lbp_45,0.6092376852026377,0.6289048833817584,LBP纹理,1.0322816507510482
lbp_46,0.7955765910168746,0.6650335827375243,LBP纹理,0.8359139650987829
