,Mass,Range.Size,av_wing_tarsus,av_tail_wing,av_wing_mass,av_tail_mass
fractal_dimension_mean,0.14519592563565112,0.7720318876791974,0.5179220103632375,0.87226017456782,0.12476537443406854,0.7202730808867727
symm_vertical_mean,5.696771497504714e-09,0.28741995882684807,8.333643537794443e-05,5.682841191355605e-13,0.015723577125181253,2.101461971406635e-06
glcm_entropy_mean,0.1734561863986067,0.5167597662404977,1.3043911290724665e-10,0.000748542043316138,2.4739943384992685e-09,0.26602903844589243
glcm_contrast_mean,0.4075572662197089,0.31978819022770955,1.5332208196977773e-06,0.014539007057565024,1.0000971615473015e-07,0.5604994104786514
shape_area_ratio_mean,0.4892478029791627,0.4282356758245204,0.5138704488258805,0.2833220473788833,0.032043072980752804,0.1942114028427417
shape_edge_density_mean,0.0005851230766045876,0.7843646165751351,0.00031345549934529105,2.028560979721777e-06,0.04619260812536054,0.00730406583960529
morph_wing_body_ratio_mean,0.012481813770196769,0.16040258306357374,0.39749409067672353,1.0868501460353845e-06,0.24903616986731814,0.00040402120462642167
morph_tail_body_ratio_mean,2.1362897564359713e-05,0.6566232334429268,0.3936144412637706,5.149563103804179e-07,0.25992330528829327,0.0036485198861718176
morph_body_width_ratio_mean,4.9707016106020885e-05,0.28888381101560684,0.0002579533267374377,0.0935704824902128,0.00010357175159799252,0.5524663765095527
morph_body_len_ratio_mean,0.06902071667302787,0.22851558539044803,0.4388945433846321,0.16648423881213575,0.758158083586044,0.5126867345106864
