,Mass,Range.Size,av_wing_tarsus,av_tail_wing,av_wing_mass,av_tail_mass
fractal_dimension_mean,-0.10337688111824836,0.020879120879120878,-0.04598214955373885,-0.011440786019650493,-0.10890572264306608,-0.0254766369159229
symm_vertical_mean,0.39732645611213774,-0.07656055284921263,0.27457286432160805,-0.4809255231380785,0.17060076501912552,-0.32813320333008333
glcm_entropy_mean,-0.09663039414754769,-0.04670410590881872,-0.43439285982149556,0.2364689117227931,-0.4059101477536939,0.0790204755118878
glcm_contrast_mean,0.0588808181917572,0.07161468869863567,-0.33227180679516993,0.17257631440786023,-0.365811145278632,0.041402535063376586
shape_area_ratio_mean,-0.04917547729116058,0.057052226124391064,-0.0464276606915173,-0.07623190579764495,-0.1516672916822921,-0.09218030450761269
shape_edge_density_mean,-0.24104871684853543,-0.01972033857159041,-0.25228230705767646,0.3285997149928748,-0.1411490287257182,0.18916222905572638
morph_wing_body_ratio_mean,0.1763694449857958,0.10091440223988087,0.0601515037875947,-0.3367209180229506,0.08188404710117754,-0.24777619440486015
morph_tail_body_ratio_mean,-0.29563863432218496,-0.03203482820566767,-0.06064651616290408,0.346147153678842,-0.08003450086252158,0.20466211655291386
morph_body_width_ratio_mean,-0.28276893227324074,-0.07632912006991535,-0.25568739218480463,0.11889597239930999,-0.27104627615690396,-0.042253056326408175
morph_body_len_ratio_mean,0.12884327562666087,0.08662868795416657,0.05503787594689868,-0.09821345533638343,-0.021906547663691597,-0.046558163954098855
